rate,window_duration,p_click_heralded
2.00e+08,2.00e-08,1.0e-05,0.729166
2.00e+08,2.00e-08,1.0e-04,0.731829
2.00e+08,2.00e-08,1.0e-03,0.731595
2.00e+08,2.00e-08,1.0e-02,0.736736
2.00e+08,2.00e-08,1.0e-01,0.770124
2.00e+08,5.00e-08,1.0e-08,0.925039
2.00e+08,5.00e-08,1.0e-07,0.924265
2.00e+08,5.00e-08,1.0e-06,0.923738
2.00e+08,5.00e-08,1.0e-05,0.923336
2.00e+08,5.00e-08,1.0e-04,0.922521
2.00e+08,5.00e-08,1.0e-03,0.924122
2.00e+08,5.00e-08,1.0e-02,0.925313
2.00e+08,5.00e-08,1.0e-01,0.942247
2.00e+08,1.00e-07,1.0e-08,0.993210
2.00e+08,1.00e-07,1.0e-07,0.993360
2.00e+08,1.00e-07,1.0e-06,0.993340
2.00e+08,1.00e-07,1.0e-05,0.993180
2.00e+08,1.00e-07,1.0e-04,0.993450
2.00e+08,1.00e-07,1.0e-03,0.993500
2.00e+08,1.00e-07,1.0e-02,0.993840
2.00e+08,1.00e-07,1.0e-01,0.995820
2.00e+08,2.00e-07,1.0e-08,0.999940
2.00e+08,2.00e-07,1.0e-07,0.999920
2.00e+08,2.00e-07,1.0e-06,0.999950
2.00e+08,2.00e-07,1.0e-05,0.999940
2.00e+08,2.00e-07,1.0e-04,0.999970
2.00e+08,2.00e-07,1.0e-03,0.999940
2.00e+08,2.00e-07,1.0e-02,0.999930
2.00e+08,2.00e-07,1.0e-01,1.000000
2.00e+08,5.00e-07,1.0e-08,1.000000
2.00e+08,5.00e-07,1.0e-07,1.000000
2.00e+08,5.00e-07,1.0e-06,1.000000
2.00e+08,5.00e-07,1.0e-05,1.000000
2.00e+08,5.00e-07,1.0e-04,1.000000
2.00e+08,5.00e-07,1.0e-03,1.000000
2.00e+08,5.00e-07,1.0e-02,1.000000
2.00e+08,5.00e-07,1.0e-01,1.000000
2.00e+08,1.00e-06,1.0e-08,1.000000
2.00e+08,1.00e-06,1.0e-07,1.000000
2.00e+08,1.00e-06,1.0e-06,1.000000
2.00e+08,1.00e-06,1.0e-05,1.000000
2.00e+08,1.00e-06,1.0e-04,1.000000
2.00e+08,1.00e-06,1.0e-03,1.000000
2.00e+08,1.00e-06,1.0e-02,1.000000
2.00e+08,1.00e-06,1.0e-01,1.000000
5.00e+08,1.00e-08,1.0e-08,0.776695
5.00e+08,1.00e-08,1.0e-07,0.778254
5.00e+08,1.00e-08,1.0e-06,0.779158
5.00e+08,1.00e-08,1.0e-05,0.776684
5.00e+08,1.00e-08,1.0e-04,0.778525
5.00e+08,1.00e-08,1.0e-03,0.773645
5.00e+08,1.00e-08,1.0e-02,0.782440
5.00e+08,1.00e-08,1.0e-01,0.814438
5.00e+08,2.00e-08,1.0e-08,0.924395
5.00e+08,2.00e-08,1.0e-07,0.924234
5.00e+08,2.00e-08,1.0e-06,0.924265
5.00e+08,2.00e-08,1.0e-05,0.923727
5.00e+08,2.00e-08,1.0e-04,0.926150
5.00e+08,2.00e-08,1.0e-03,0.925388
5.00e+08,2.00e-08,1.0e-02,0.925155
5.00e+08,2.00e-08,1.0e-01,0.943457
5.00e+08,5.00e-08,1.0e-08,0.997970
5.00e+08,5.00e-08,1.0e-07,0.998190
5.00e+08,5.00e-08,1.0e-06,0.998230
5.00e+08,5.00e-08,1.0e-05,0.998290
5.00e+08,5.00e-08,1.0e-04,0.998090
5.00e+08,5.00e-08,1.0e-03,0.998010
5.00e+08,5.00e-08,1.0e-02,0.998220
5.00e+08,5.00e-08,1.0e-01,0.998880
5.00e+08,1.00e-07,1.0e-08,1.000000
5.00e+08,1.00e-07,1.0e-07,0.999990
5.00e+08,1.00e-07,1.0e-06,0.999990
5.00e+08,1.00e-07,1.0e-05,1.000000
5.00e+08,1.00e-07,1.0e-04,0.999990
5.00e+08,1.00e-07,1.0e-03,0.999990
5.00e+08,1.00e-07,1.0e-02,1.000000
5.00e+08,1.00e-07,1.0e-01,0.999990
5.00e+08,2.00e-07,1.0e-08,1.000000
5.00e+08,2.00e-07,1.0e-07,1.000000
5.00e+08,2.00e-07,1.0e-06,1.000000
5.00e+08,2.00e-07,1.0e-05,1.000000
5.00e+08,2.00e-07,1.0e-04,1.000000
5.00e+08,2.00e-07,1.0e-03,1.000000
5.00e+08,2.00e-07,1.0e-02,1.000000
5.00e+08,2.00e-07,1.0e-01,1.000000
5.00e+08,5.00e-07,1.0e-08,1.000000
5.00e+08,5.00e-07,1.0e-07,1.000000
5.00e+08,5.00e-07,1.0e-06,1.000000
5.00e+08,5.00e-07,1.0e-05,1.000000
5.00e+08,5.00e-07,1.0e-04,1.000000
5.00e+08,5.00e-07,1.0e-03,1.000000
5.00e+08,5.00e-07,1.0e-02,1.000000
5.00e+08,5.00e-07,1.0e-01,1.000000
5.00e+08,1.00e-06,1.0e-08,1.000000
5.00e+08,1.00e-06,1.0e-07,1.000000
5.00e+08,1.00e-06,1.0e-06,1.000000
5.00e+08,1.00e-06,1.0e-05,1.000000
5.00e+08,1.00e-06,1.0e-04,1.000000
5.00e+08,1.00e-06,1.0e-03,1.000000
5.00e+08,1.00e-06,1.0e-02,1.000000
5.00e+08,1.00e-06,1.0e-01,1.000000
